,cdf,Time to First Token
0,0.0,1.343125819197041
1,0.01,1.343125819197041
2,0.02,1.343125819197041
3,0.03,1.343125819197041
4,0.04,20.025380599686507
5,0.05,20.025380599686507
6,0.06,20.025380599686507
7,0.07,39.92492154343608
8,0.08,39.92492154343608
9,0.09,39.92492154343608
10,0.1,39.92492154343608
11,0.11,61.99172297111608
12,0.12,61.99172297111608
13,0.13,61.99172297111608
14,0.14,76.78435795899135
15,0.15,76.78435795899135
16,0.16,76.78435795899135
17,0.17,76.78435795899135
18,0.18,96.06269216059265
19,0.19,96.06269216059265
20,0.2,96.06269216059265
21,0.21,113.86358150111863
22,0.22,113.86358150111863
23,0.23,113.86358150111863
24,0.24,113.86358150111863
25,0.25,133.08674455668097
26,0.26,133.08674455668097
27,0.27,133.08674455668097
28,0.28,151.56296871315436
29,0.29,151.56296871315436
30,0.3,151.56296871315436
31,0.31,151.56296871315436
32,0.32,161.90361607426667
33,0.33,161.90361607426667
34,0.34,161.90361607426667
35,0.35000000000000003,172.60421811100233
36,0.36,172.60421811100233
37,0.37,172.60421811100233
38,0.38,190.75716855204178
39,0.39,190.75716855204178
40,0.4,190.75716855204178
41,0.41000000000000003,190.75716855204178
42,0.42,210.81928212548445
43,0.43,210.81928212548445
44,0.44,210.81928212548445
45,0.45,249.8851320153791
46,0.46,249.8851320153791
47,0.47000000000000003,249.8851320153791
48,0.48,249.8851320153791
49,0.49,272.8716040364805
50,0.5,272.8716040364805
51,0.51,272.8716040364805
52,0.52,289.7450474752937
53,0.53,289.7450474752937
54,0.54,289.7450474752937
55,0.55,289.7450474752937
56,0.56,305.21040981417445
57,0.5700000000000001,305.21040981417445
58,0.58,305.21040981417445
59,0.59,322.14489377491435
60,0.6,322.14489377491435
61,0.61,322.14489377491435
62,0.62,322.14489377491435
63,0.63,334.621966914877
64,0.64,334.621966914877
65,0.65,334.621966914877
66,0.66,889.8044893155575
67,0.67,889.8044893155575
68,0.68,889.8044893155575
69,0.6900000000000001,904.1558708188261
70,0.7000000000000001,904.1558708188261
71,0.71,904.1558708188261
72,0.72,904.1558708188261
73,0.73,922.4210371519016
74,0.74,922.4210371519016
75,0.75,922.4210371519016
76,0.76,939.1749543061944
77,0.77,939.1749543061944
78,0.78,939.1749543061944
79,0.79,939.1749543061944
80,0.8,965.8434789397239
81,0.81,965.8434789397239
82,0.8200000000000001,965.8434789397239
83,0.8300000000000001,991.2847208430245
84,0.84,991.2847208430245
85,0.85,991.2847208430245
86,0.86,991.2847208430245
87,0.87,997.2503100274024
88,0.88,997.2503100274024
89,0.89,997.2503100274024
90,0.9,1017.3961094146993
91,0.91,1017.3961094146993
92,0.92,1017.3961094146993
93,0.93,1017.3961094146993
94,0.9400000000000001,1027.6211137305045
95,0.9500000000000001,1027.6211137305045
96,0.96,1027.6211137305045
97,0.97,1037.9488810825471
98,0.98,1037.9488810825471
99,0.99,1037.9488810825471
100,1.0,1063.1609978635497
