,cdf,Time per Output Token
0,0.0,0.001205328975802533
1,0.01,0.001244523280442528
2,0.02,0.0018198474446973689
3,0.03,0.004396254682776975
4,0.04,0.015283187764556231
5,0.05,0.01571716448796558
6,0.06,0.016655715219953002
7,0.07,0.016655715219953002
8,0.08,0.016722471526689982
9,0.09,0.016823107996896916
10,0.1,0.016924350101212383
11,0.11,0.017266244767447207
12,0.12,0.017335448083946683
13,0.13,0.017579851268977924
14,0.14,0.017579851268977924
15,0.15,0.017650311524103825
16,0.16,0.01772105418477893
17,0.17,0.017756531770734444
18,0.18,0.017970893823414057
19,0.19,0.018006871588826297
20,0.2,0.018042921381796924
21,0.21,0.01807904334652525
22,0.22,0.018260740813748913
23,0.23,0.018370634647081274
24,0.24,0.018407412694422778
25,0.25,0.01844426437148869
26,0.26,0.018555262656577566
27,0.27,0.01859241032956371
28,0.28,0.018629632372265528
29,0.29,0.018741746209039317
30,0.3,0.018854534751150547
31,0.31,0.018892281567469155
32,0.32,0.01896800205900161
33,0.33,0.01900597603709771
34,0.34,0.019044026039173982
35,0.35000000000000003,0.019044026039173982
36,0.36,0.01908215221743059
37,0.37,0.01912035472437239
38,0.38,0.01912035472437239
39,0.39,0.019158633712809566
40,0.4,0.019196989335858235
41,0.41000000000000003,0.01923542174694104
42,0.42,0.01923542174694104
43,0.43,0.01931251754843599
44,0.44,0.019389922350829727
45,0.45,0.01942874101419474
46,0.46,0.019506611641635776
47,0.47000000000000003,0.019545663917194606
48,0.48,0.019584794375487293
49,0.49,0.019584794375487293
50,0.5,0.01966329046667553
51,0.51,0.01966329046667553
52,0.52,0.01966329046667553
53,0.53,0.019702656413555748
54,0.54,0.019702656413555748
55,0.55,0.019781624897208798
56,0.56,0.019781624897208798
57,0.5700000000000001,0.019860909887493217
58,0.58,0.01990067146884956
59,0.59,0.01990067146884956
60,0.6,0.019940512652971382
61,0.61,0.01998043359922357
62,0.62,0.02006051541717455
63,0.63,0.02006051541717455
64,0.64,0.020140918204014143
65,0.65,0.020181240362580743
66,0.66,0.020181240362580743
67,0.67,0.020262127016452143
68,0.68,0.02034333786500421
69,0.6900000000000001,0.02034333786500421
70,0.7000000000000001,0.020506737348862922
71,0.71,0.020506737348862922
72,0.72,0.020588928598566522
73,0.73,0.020588928598566522
74,0.74,0.020671449271786557
75,0.75,0.02071283355461296
76,0.76,0.02075430068885643
77,0.77,0.020795850840385675
78,0.78,0.02083748417540145
79,0.79,0.020962884948370824
80,0.8,0.0210048526860052
81,0.81,0.021131260689042444
82,0.8200000000000001,0.021215955035797776
83,0.8300000000000001,0.021386363457730474
84,0.84,0.021386363457730474
85,0.85,0.021386363457730474
86,0.86,0.02142917900018838
87,0.87,0.021472080259448016
88,0.88,0.021731297501820922
89,0.89,0.021774803602925667
90,0.9,0.022126002678022175
91,0.91,0.022303720682876463
92,0.92,0.022482866134419098
93,0.93,0.022708822771297113
94,0.9400000000000001,0.02298297033153271
95,0.9500000000000001,0.024113058429846207
96,0.96,0.025450962341686013
97,0.97,0.029451758037343144
98,0.98,0.03028806114691645
99,0.99,0.12605950894219034
100,1.0,0.19262672137043002
