,cdf,Time to First Token
0,0.0,2.764887201431816
1,0.01,4.782675039520193
2,0.02,14.62892004304429
3,0.03,15.721047479445145
4,0.04,16.693183097513522
5,0.05,16.793643308838774
6,0.06,17.374445055117736
7,0.07,17.619398037530317
8,0.08,17.939418855724938
9,0.09,18.228758196037194
10,0.1,18.375173189504977
11,0.11,18.671540676742623
12,0.12,18.783906719288037
13,0.13,18.972688183552638
14,0.14,19.125078488289084
15,0.15,19.472446954159587
16,0.16,19.550492755533178
17,0.17,19.746978540127397
18,0.18,19.865816608672393
19,0.19,20.025380599686507
20,0.2,20.06547145173793
21,0.21,20.186226222748783
22,0.22,20.307707700568226
23,0.23,20.348363772040837
24,0.24,20.552868296348876
25,0.25,20.75942812598423
26,0.26,20.9261696835151
27,0.27,21.136481255721055
28,0.28,21.263681404501444
29,0.29,21.434473168836654
30,0.3,21.520382794854417
31,0.31,21.69323640739604
32,0.32,21.73666631011355
33,0.33,21.9112571309243
34,0.34,21.955123511566782
35,0.35000000000000003,21.99907771279114
36,0.36,22.043119910414347
37,0.37,22.043119910414347
38,0.38,22.22017219356959
39,0.39,22.30923091071944
40,0.4,22.39864657627777
41,0.41000000000000003,22.48842062089808
42,0.42,22.57855448096794
43,0.43,22.623756792241156
44,0.44,22.759907421815107
45,0.45,22.85112940424525
46,0.46,22.988648370853415
47,0.47000000000000003,23.080787149755857
48,0.48,23.35942517292192
49,0.49,23.453050029702315
50,0.5,23.594191377547254
51,0.51,23.688757180096744
52,0.52,23.783702003519156
53,0.53,23.926833227529155
54,0.54,23.926833227529155
55,0.55,24.022732262610404
56,0.56,24.07082582069371
57,0.5700000000000001,24.16730197981858
58,0.58,24.361415880691887
59,0.59,24.508023808806044
60,0.6,24.7543336255018
61,0.61,24.803891850978285
62,0.62,24.853549292121386
63,0.63,24.903306147561054
64,0.64,24.953162616324942
65,0.65,25.053175191928883
66,0.66,25.10333169881963
67,0.67,25.20394615391064
68,0.68,25.55928307312625
69,0.6900000000000001,25.713099811602593
70,0.7000000000000001,25.971520847532872
71,0.71,26.443241126153197
72,0.72,26.496180547827176
73,0.73,26.60237755784151
74,0.74,27.085556075850388
75,0.75,27.194115310062983
76,0.76,27.41254084254664
77,0.77,27.522410635633197
78,0.78,27.85466923853611
79,0.79,27.85466923853611
80,0.8,28.07840039842908
81,0.81,28.24737728086207
82,0.8200000000000001,28.360593108424823
83,0.8300000000000001,28.417371072605857
84,0.84,28.76043390005068
85,0.85,28.991440241586453
86,0.86,29.165911832551437
87,0.87,29.695651778726894
88,0.88,30.0541463852828
89,0.89,30.47786367625726
90,0.9,30.907554730065282
91,0.91,31.155806935467375
92,0.92,31.406053124477214
93,0.93,31.53192896277589
94,0.9400000000000001,31.721689311571495
95,0.9500000000000001,31.976480717732706
96,0.96,33.1486060840254
97,0.97,33.348095657277305
98,0.98,33.68324970284932
99,0.99,36.12556172046482
100,1.0,43.07749721283061
