,cdf,Min Deadline to Meet Target Deadline Miss Rate of 10.0%
0,0.0,0.028296937709456103
1,0.01,0.028296937709456103
2,0.02,0.029747753225700165
3,0.03,0.03171385427071461
4,0.04,0.04113065533248235
5,0.05,0.04221407617112971
6,0.06,0.05104735785841233
7,0.07,0.05104735785841233
8,0.08,0.05281281125300059
9,0.09,0.05442120135069811
10,0.1,0.05442120135069811
11,0.11,0.0550781900341556
12,0.12,0.05563173523213165
13,0.13,0.06607258254659137
14,0.14,0.07100525563391903
15,0.15,0.07100525563391903
16,0.16,0.07100525563391903
17,0.17,0.07831615706965818
18,0.18,0.08483888240593303
19,0.19,0.08552031579155878
20,0.2,0.08552031579155878
21,0.21,0.08777300278395654
22,0.22,0.09008502770838539
23,0.23,0.09117256055008009
24,0.24,0.09117256055008009
25,0.25,0.09320058402004541
26,0.26,0.09603896533096172
27,0.27,0.09661693148015252
28,0.28,0.09719837585163005
29,0.29,0.09719837585163005
30,0.3,0.09739296719467637
31,0.31,0.10218184485054375
32,0.32,0.10382990423411238
33,0.33,0.1067782264248484
34,0.34,0.12455583442482021
35,0.35000000000000003,0.1253054161777439
36,0.36,0.12555627787179344
37,0.37,0.12938003709311832
38,0.38,0.13199368809506912
39,0.39,0.13332024715888122
40,0.4,0.14270137071124867
41,0.41000000000000003,0.14413554381048863
42,0.42,0.15182888811564332
43,0.43,0.15182888811564332
44,0.44,0.15614017476594017
45,0.45,0.1615402231354701
46,0.46,0.1725615860466224
47,0.47000000000000003,0.1764000100681213
48,0.48,0.1937859563121857
49,0.49,0.2053578878323367
50,0.5,0.20867004171375214
51,0.51,0.21631902132589584
52,0.52,0.2189304879142918
53,0.53,0.22201707144461583
54,0.54,0.22201707144461583
55,0.55,0.2409897266679567
56,0.56,0.25385273666706837
57,0.5700000000000001,0.26210739717417253
58,0.58,0.26210739717417253
59,0.59,0.26686804924184654
60,0.6,0.27389760914991473
61,0.61,0.27665032680799384
62,0.62,0.28337025345766775
63,0.63,0.29611691910657956
64,0.64,0.29730375927650554
65,0.65,0.30330969563094884
66,0.66,0.3156880033388813
67,0.67,0.31949908138474076
68,0.68,0.3279149930667399
69,0.6900000000000001,0.32988839797746117
70,0.7000000000000001,0.37493566527347066
71,0.71,0.3802216821292739
72,0.72,0.3802216821292739
73,0.73,0.3817456151999994
74,0.74,0.3848118296483327
75,0.75,0.3855822237016827
76,0.76,0.39023708524878337
77,0.77,0.4756843629880232
78,0.78,0.48046507191693005
79,0.79,0.5040898624290469
80,0.8,0.5091560514690819
81,0.81,0.5236138909149227
82,0.8200000000000001,0.5417228775491246
83,0.8300000000000001,0.5740718679568646
84,0.84,0.634447554499554
85,0.85,0.6485600739157488
86,0.86,0.6485600739157488
87,0.87,0.6900435112012945
88,0.88,0.735650157800279
89,0.89,0.8311038170484454
90,0.9,0.8807331949458154
91,0.91,1.0070240561041681
92,0.92,1.313899707439392
93,0.93,2.1318704764697594
94,0.9400000000000001,2.389298457274668
95,0.9500000000000001,3.117401739282625
96,0.96,3.5078380878691298
97,0.97,4.37978655879996
98,0.98,6.153371270351273
99,0.99,7.455859025398745
100,1.0,12.391370947062208
