,cdf,Min Deadline to Meet Target Deadline Miss Rate of 10.0%
0,0.0,0.02377782759137498
1,0.01,0.02377782759137498
2,0.02,0.02377782759137498
3,0.03,0.0731676883341777
4,0.04,0.0731676883341777
5,0.05,0.1067782264248484
6,0.06,0.1067782264248484
7,0.07,0.1067782264248484
8,0.08,0.16846940916272116
9,0.09,0.16846940916272116
10,0.1,0.17084456900746897
11,0.11,0.17084456900746897
12,0.12,0.17084456900746897
13,0.13,0.17290705468735634
14,0.14,0.17290705468735634
15,0.15,0.2111891675797742
16,0.16,0.2111891675797742
17,0.17,0.2111891675797742
18,0.18,0.22877850017297258
19,0.19,0.22877850017297258
20,0.2,0.25385273666706837
21,0.21,0.25385273666706837
22,0.22,0.2564039999400263
23,0.23,0.2564039999400263
24,0.24,0.2564039999400263
25,0.25,0.27008975850178046
26,0.26,0.27008975850178046
27,0.27,0.27887240663136104
28,0.28,0.27887240663136104
29,0.29,0.27887240663136104
30,0.3,0.2873653386814699
31,0.31,0.2873653386814699
32,0.32,0.36095541238831663
33,0.33,0.36095541238831663
34,0.34,0.36095541238831663
35,0.35000000000000003,0.5449829864474937
36,0.36,0.5449829864474937
37,0.37,0.5482627148053126
38,0.38,0.5482627148053126
39,0.39,0.5482627148053126
40,0.4,0.55710547462353
41,0.41000000000000003,0.55710547462353
42,0.42,0.5582208008990526
43,0.43,0.5582208008990526
44,0.44,0.5683597555362344
45,0.45,0.5683597555362344
46,0.46,0.5683597555362344
47,0.47000000000000003,0.5786828638290472
48,0.48,0.5786828638290472
49,0.49,0.6035051720840706
50,0.5,0.6035051720840706
51,0.51,0.6035051720840706
52,0.52,0.6059240280655137
53,0.53,0.6059240280655137
54,0.54,0.680450208654683
55,0.55,0.680450208654683
56,0.56,0.680450208654683
57,0.5700000000000001,0.7341803273151636
58,0.58,0.7341803273151636
59,0.59,0.7565394545867864
60,0.6,0.7565394545867864
61,0.61,0.7656726204838353
62,0.62,0.7656726204838353
63,0.63,0.7656726204838353
64,0.64,0.7937390080474679
65,0.65,0.7937390080474679
66,0.66,0.9166766107108517
67,0.67,0.9166766107108517
68,0.68,0.9166766107108517
69,0.6900000000000001,0.9464846573585621
70,0.7000000000000001,0.9464846573585621
71,0.71,0.967538065176706
72,0.72,0.967538065176706
73,0.73,0.967538065176706
74,0.74,1.0110602206214547
75,0.75,1.0110602206214547
76,0.76,1.119631415305287
77,0.77,1.119631415305287
78,0.78,1.119631415305287
79,0.79,1.1699950901327383
80,0.8,1.1699950901327383
81,0.81,1.3566244626171156
82,0.8200000000000001,1.3566244626171156
83,0.8300000000000001,1.3593404275072398
84,0.84,1.3593404275072398
85,0.85,1.3593404275072398
86,0.86,1.5053111730537103
87,0.87,1.5053111730537103
88,0.88,1.6144585861042084
89,0.89,1.6144585861042084
90,0.9,1.6144585861042084
91,0.91,1.624174459331529
92,0.92,1.624174459331529
93,0.93,1.8607873544510989
94,0.9400000000000001,1.8607873544510989
95,0.9500000000000001,1.8607873544510989
96,0.96,2.3940818375695123
97,0.97,2.3940818375695123
98,0.98,2.8777244270465556
99,0.99,2.8777244270465556
100,1.0,3.0556730286378344
