,cdf,"Deadline Miss Rate with 0.05s TBT Deadline, 0.1s TTFT Deadline, 0.0s TTFT Slack, Using Predictions for TTFT: False "
0,0.0,0.097587948109981
1,0.01,0.097587948109981
2,0.02,0.097587948109981
3,0.03,0.3188607215817742
4,0.04,0.3188607215817742
5,0.05,0.3188607215817742
6,0.06,0.3886792541278612
7,0.07,0.3886792541278612
8,0.08,0.3886792541278612
9,0.09,0.39891743779082556
10,0.1,0.39891743779082556
11,0.11,0.39891743779082556
12,0.12,0.4086072724357371
13,0.13,0.4086072724357371
14,0.14,0.4086072724357371
15,0.15,0.4210512206982999
16,0.16,0.4210512206982999
17,0.17,0.4210512206982999
18,0.18,0.4542985204456069
19,0.19,0.4542985204456069
20,0.2,0.4542985204456069
21,0.21,0.4634759624206222
22,0.22,0.4634759624206222
23,0.23,0.4634759624206222
24,0.24,0.46907117999773323
25,0.25,0.46907117999773323
26,0.26,0.46907117999773323
27,0.27,0.47001026143917013
28,0.28,0.47001026143917013
29,0.29,0.47001026143917013
30,0.3,0.47473394468035474
31,0.31,0.47473394468035474
32,0.32,0.47473394468035474
33,0.33,0.4872388912785135
34,0.34,0.4872388912785135
35,0.35000000000000003,0.4872388912785135
36,0.36,0.4872388912785135
37,0.37,0.4872388912785135
38,0.38,0.4872388912785135
39,0.39,0.4882143445143063
40,0.4,0.4882143445143063
41,0.41000000000000003,0.4882143445143063
42,0.42,0.4950974167140802
43,0.43,0.4950974167140802
44,0.44,0.4950974167140802
45,0.45,0.5000732301419085
46,0.46,0.5000732301419085
47,0.47000000000000003,0.5000732301419085
48,0.48,0.5061102606548165
49,0.49,0.5061102606548165
50,0.5,0.5236138909149227
51,0.51,0.5236138909149227
52,0.52,0.5236138909149227
53,0.53,0.5278196038654965
54,0.54,0.5278196038654965
55,0.55,0.5278196038654965
56,0.56,0.5278196038654965
57,0.5700000000000001,0.5278196038654965
58,0.58,0.5278196038654965
59,0.59,0.532059097473401
60,0.6,0.532059097473401
61,0.61,0.532059097473401
62,0.62,0.55710547462353
63,0.63,0.55710547462353
64,0.64,0.55710547462353
65,0.65,0.5604581565766483
66,0.66,0.5604581565766483
67,0.67,0.5604581565766483
68,0.68,0.5752211609858071
69,0.6900000000000001,0.5752211609858071
70,0.7000000000000001,0.5752211609858071
71,0.71,0.5763727549016947
72,0.72,0.5763727549016947
73,0.73,0.5763727549016947
74,0.74,0.6010959722046929
75,0.75,0.6010959722046929
76,0.76,0.6010959722046929
77,0.77,0.6010959722046929
78,0.78,0.6010959722046929
79,0.79,0.6010959722046929
80,0.8,0.6047133906468014
81,0.81,0.6047133906468014
82,0.8200000000000001,0.6047133906468014
83,0.8300000000000001,0.6206421202899309
84,0.84,0.6206421202899309
85,0.85,0.6206421202899309
86,0.86,0.6369904279215228
87,0.87,0.6369904279215228
88,0.88,0.6369904279215228
89,0.89,0.6563896811006248
90,0.9,0.6563896811006248
91,0.91,0.6563896811006248
92,0.92,0.6603398591876849
93,0.93,0.6603398591876849
94,0.9400000000000001,0.6603398591876849
95,0.9500000000000001,0.6683116753908321
96,0.96,0.6683116753908321
97,0.97,0.6683116753908321
98,0.98,0.6886648028872061
99,0.99,0.6886648028872061
100,1.0,0.7610923378229978
